year,state_po,county,candidate,party,candidatevotes,totalvotes
2000,AL,Etowah,Al Gore,democrat,17433,39348
2000,AL,Etowah,George W. Bush,republican,21087,39348
2000,AL,Etowah,Ralph Nader,green,435,39348
2000,AL,Etowah,Other,NA,393,39348
2000,AL,Fayette,Al Gore,democrat,3064,7808
2000,AL,Fayette,George W. Bush,republican,4582,7808
2000,AL,Fayette,Ralph Nader,green,60,7808
2000,AL,Fayette,Other,NA,102,7808
2000,AL,Franklin,Al Gore,democrat,4793,11103
2000,AL,Franklin,George W. Bush,republican,6119,11103
2000,AL,Franklin,Ralph Nader,green,72,11103
2000,AL,Franklin,Other,NA,119,11103
2000,AL,Geneva,Al Gore,democrat,2769,9559
2000,AL,Geneva,George W. Bush,republican,6588,9559
2000,AL,Geneva,Ralph Nader,green,97,9559
2000,AL,Geneva,Other,NA,105,9559
2000,AL,Greene,Al Gore,democrat,3504,4396
2000,AL,Greene,George W. Bush,republican,850,4396
2000,AL,Greene,Ralph Nader,green,24,4396
2000,AL,Greene,Other,NA,18,4396
2000,AL,Hale,Al Gore,democrat,4652,7731
2000,AL,Hale,George W. Bush,republican,2984,7731
2000,AL,Hale,Ralph Nader,green,43,7731
2000,AL,Hale,Other,NA,52,7731
2000,AL,Henry,Al Gore,democrat,2782,6932
2000,AL,Henry,George W. Bush,republican,4054,6932
2000,AL,Henry,Ralph Nader,green,48,6932
2000,AL,Henry,Other,NA,48,6932
2000,AL,Houston,Al Gore,democrat,9412,32057
2000,AL,Houston,George W. Bush,republican,22150,32057
2000,AL,Houston,Ralph Nader,green,257,32057
2000,AL,Houston,Other,NA,238,32057
2000,AL,Jackson,Al Gore,democrat,9066,17906
2000,AL,Jackson,George W. Bush,republican,8475,17906
2000,AL,Jackson,Ralph Nader,green,184,17906
2000,AL,Jackson,Other,NA,181,17906
2000,AL,Jefferson,Al Gore,democrat,129889,273763
2000,AL,Jefferson,George W. Bush,republican,138491,273763
2000,AL,Jefferson,Ralph Nader,green,3393,273763
2000,AL,Jefferson,Other,NA,1990,273763
2000,AL,Lamar,Al Gore,democrat,2653,7249
2000,AL,Lamar,George W. Bush,republican,4470,7249
2000,AL,Lamar,Ralph Nader,green,57,7249
2000,AL,Lamar,Other,NA,69,7249
2000,AL,Lauderdale,Al Gore,democrat,13875,32137
2000,AL,Lauderdale,George W. Bush,republican,17478,32137
2000,AL,Lauderdale,Ralph Nader,green,354,32137
2000,AL,Lauderdale,Other,NA,430,32137
2000,AL,Lawrence,Al Gore,democrat,6296,12185
2000,AL,Lawrence,George W. Bush,republican,5671,12185
2000,AL,Lawrence,Ralph Nader,green,63,12185
2000,AL,Lawrence,Other,NA,155,12185
2000,AL,Lee,Al Gore,democrat,14574,38264
2000,AL,Lee,George W. Bush,republican,22433,38264
2000,AL,Lee,Ralph Nader,green,895,38264
2000,AL,Lee,Other,NA,362,38264
2000,AL,Limestone,Al Gore,democrat,8992,23634
2000,AL,Limestone,George W. Bush,republican,14204,23634
2000,AL,Limestone,Ralph Nader,green,193,23634
2000,AL,Limestone,Other,NA,245,23634
2000,AL,Lowndes,Al Gore,democrat,4557,6243
2000,AL,Lowndes,George W. Bush,republican,1638,6243
2000,AL,Lowndes,Ralph Nader,green,18,6243
2000,AL,Lowndes,Other,NA,30,6243
2000,AL,Macon,Al Gore,democrat,7665,8831
2000,AL,Macon,George W. Bush,republican,1091,8831
2000,AL,Macon,Ralph Nader,green,31,8831
2000,AL,Macon,Other,NA,44,8831
2000,AL,Madison,Al Gore,democrat,48199,113318
2000,AL,Madison,George W. Bush,republican,62151,113318
2000,AL,Madison,Ralph Nader,green,1885,113318
2000,AL,Madison,Other,NA,1083,113318
2000,AL,Marengo,Al Gore,democrat,4841,9608
2000,AL,Marengo,George W. Bush,republican,4690,9608
2000,AL,Marengo,Ralph Nader,green,40,9608
2000,AL,Marengo,Other,NA,37,9608
2000,AL,Marion,Al Gore,democrat,4600,11756
2000,AL,Marion,George W. Bush,republican,6910,11756
2000,AL,Marion,Ralph Nader,green,125,11756
2000,AL,Marion,Other,NA,121,11756
2000,AL,Marshall,Al Gore,democrat,10381,27989
2000,AL,Marshall,George W. Bush,republican,17084,27989
2000,AL,Marshall,Ralph Nader,green,256,27989
2000,AL,Marshall,Other,NA,268,27989
2000,AL,Mobile,Al Gore,democrat,58640,139745
2000,AL,Mobile,George W. Bush,republican,78162,139745
2000,AL,Mobile,Ralph Nader,green,1585,139745
2000,AL,Mobile,Other,NA,1358,139745
2000,AL,Monroe,Al Gore,democrat,3741,8951
2000,AL,Monroe,George W. Bush,republican,5153,8951
2000,AL,Monroe,Ralph Nader,green,25,8951
2000,AL,Monroe,Other,NA,32,8951
2000,AL,Montgomery,Al Gore,democrat,40371,80328
2000,AL,Montgomery,George W. Bush,republican,38827,80328
2000,AL,Montgomery,Ralph Nader,green,677,80328
2000,AL,Montgomery,Other,NA,453,80328
2000,AL,Morgan,Al Gore,democrat,16060,42681
2000,AL,Morgan,George W. Bush,republican,25774,42681
2000,AL,Morgan,Ralph Nader,green,450,42681
2000,AL,Morgan,Other,NA,397,42681
2000,AL,Perry,Al Gore,democrat,4020,5787
2000,AL,Perry,George W. Bush,republican,1732,5787
2000,AL,Perry,Ralph Nader,green,18,5787
2000,AL,Perry,Other,NA,17,5787
2000,AL,Pickens,Al Gore,democrat,4143,8540
2000,AL,Pickens,George W. Bush,republican,4306,8540
2000,AL,Pickens,Ralph Nader,green,39,8540
2000,AL,Pickens,Other,NA,52,8540
2000,AL,Pike,Al Gore,democrat,4357,10544
2000,AL,Pike,George W. Bush,republican,6058,10544
2000,AL,Pike,Ralph Nader,green,75,10544
2000,AL,Pike,Other,NA,54,10544
2000,AL,Randolph,Al Gore,democrat,3094,7919
2000,AL,Randolph,George W. Bush,republican,4666,7919
2000,AL,Randolph,Ralph Nader,green,60,7919
2000,AL,Randolph,Other,NA,99,7919
2000,AL,Russell,Al Gore,democrat,8396,14775
2000,AL,Russell,George W. Bush,republican,6198,14775
2000,AL,Russell,Ralph Nader,green,109,14775
2000,AL,Russell,Other,NA,72,14775
2000,AL,St. Clair,Al Gore,democrat,6485,24090
2000,AL,St. Clair,George W. Bush,republican,17117,24090
2000,AL,St. Clair,Ralph Nader,green,221,24090
2000,AL,St. Clair,Other,NA,267,24090
2000,AL,Shelby,Al Gore,democrat,13183,62128
2000,AL,Shelby,George W. Bush,republican,47651,62128
2000,AL,Shelby,Ralph Nader,green,812,62128
2000,AL,Shelby,Other,NA,482,62128
2000,AL,Sumter,Al Gore,democrat,4415,6088
2000,AL,Sumter,George W. Bush,republican,1629,6088
2000,AL,Sumter,Ralph Nader,green,20,6088
2000,AL,Sumter,Other,NA,24,6088
2000,AL,Talladega,Al Gore,democrat,11264,25451
2000,AL,Talladega,George W. Bush,republican,13807,25451
2000,AL,Talladega,Ralph Nader,green,184,25451
2000,AL,Talladega,Other,NA,196,25451
2000,AL,Tallapoosa,Al Gore,democrat,6183,16253
2000,AL,Tallapoosa,George W. Bush,republican,9805,16253
2000,AL,Tallapoosa,Ralph Nader,green,153,16253
2000,AL,Tallapoosa,Other,NA,112,16253
2000,AL,Tuscaloosa,Al Gore,democrat,24614,60114
2000,AL,Tuscaloosa,George W. Bush,republican,34003,60114
2000,AL,Tuscaloosa,Ralph Nader,green,1007,60114
2000,AL,Tuscaloosa,Other,NA,490,60114
2000,AL,Walker,Al Gore,democrat,11621,25641
2000,AL,Walker,George W. Bush,republican,13486,25641
2000,AL,Walker,Ralph Nader,green,264,25641
2000,AL,Walker,Other,NA,270,25641
2000,AL,Washington,Al Gore,democrat,3386,7596
2000,AL,Washington,George W. Bush,republican,4117,7596
2000,AL,Washington,Ralph Nader,green,26,7596
2000,AL,Washington,Other,NA,67,7596
2000,AL,Wilcox,Al Gore,democrat,3444,5126
2000,AL,Wilcox,George W. Bush,republican,1661,5126
2000,AL,Wilcox,Ralph Nader,green,6,5126
2000,AL,Wilcox,Other,NA,15,5126
2000,AL,Winston,Al Gore,democrat,2692,9318
2000,AL,Winston,George W. Bush,republican,6413,9318
2000,AL,Winston,Ralph Nader,green,88,9318
2000,AL,Winston,Other,NA,125,9318
2000,AZ,Apache,Al Gore,democrat,13025,19456
2000,AZ,Apache,George W. Bush,republican,5947,19456
2000,AZ,Apache,Ralph Nader,green,245,19456
2000,AZ,Apache,Other,NA,239,19456
2000,AZ,Cochise,Al Gore,democrat,13360,33241
2000,AZ,Cochise,George W. Bush,republican,18180,33241
2000,AZ,Cochise,Ralph Nader,green,1113,33241
2000,AZ,Cochise,Other,NA,588,33241
2000,AZ,Coconino,Al Gore,democrat,20280,40883
2000,AZ,Coconino,George W. Bush,republican,17562,40883
2000,AZ,Coconino,Ralph Nader,green,2478,40883
2000,AZ,Coconino,Other,NA,563,40883
2000,AZ,Gila,Al Gore,democrat,7700,17736
2000,AZ,Gila,George W. Bush,republican,9158,17736
2000,AZ,Gila,Ralph Nader,green,497,17736
2000,AZ,Gila,Other,NA,381,17736
2000,AZ,Graham,Al Gore,democrat,3355,9664
2000,AZ,Graham,George W. Bush,republican,6007,9664
2000,AZ,Graham,Ralph Nader,green,144,9664
2000,AZ,Graham,Other,NA,158,9664
2000,AZ,Greenlee,Al Gore,democrat,1216,2960
2000,AZ,Greenlee,George W. Bush,republican,1619,2960
2000,AZ,Greenlee,Ralph Nader,green,68,2960
2000,AZ,Greenlee,Other,NA,57,2960
2000,AZ,La Paz,Al Gore,democrat,1769,4483
2000,AZ,La Paz,George W. Bush,republican,2543,4483
2000,AZ,La Paz,Ralph Nader,green,91,4483
2000,AZ,La Paz,Other,NA,80,4483
2000,AZ,Maricopa,Al Gore,democrat,386683,901699
2000,AZ,Maricopa,George W. Bush,republican,479967,901699
2000,AZ,Maricopa,Ralph Nader,green,22465,901699
2000,AZ,Maricopa,Other,NA,12584,901699
2000,AZ,Mohave,Al Gore,democrat,17470,44141
2000,AZ,Mohave,George W. Bush,republican,24386,44141
2000,AZ,Mohave,Ralph Nader,green,1323,44141
2000,AZ,Mohave,Other,NA,962,44141
2000,AZ,Navajo,Al Gore,democrat,11794,25147
2000,AZ,Navajo,George W. Bush,republican,12386,25147
2000,AZ,Navajo,Ralph Nader,green,517,25147
2000,AZ,Navajo,Other,NA,450,25147
2000,AZ,Pima,Al Gore,democrat,147688,287640
2000,AZ,Pima,George W. Bush,republican,124579,287640
2000,AZ,Pima,Ralph Nader,green,12355,287640
2000,AZ,Pima,Other,NA,3018,287640
2000,AZ,Pinal,Al Gore,democrat,19650,41290
2000,AZ,Pinal,George W. Bush,republican,20122,41290
2000,AZ,Pinal,Ralph Nader,green,904,41290
2000,AZ,Pinal,Other,NA,614,41290
2000,AZ,Santa Cruz,Al Gore,democrat,5233,8893
2000,AZ,Santa Cruz,George W. Bush,republican,3344,8893
2000,AZ,Santa Cruz,Ralph Nader,green,217,8893
2000,AZ,Santa Cruz,Other,NA,99,8893
2000,AZ,Yavapai,Al Gore,democrat,24063,68228
2000,AZ,Yavapai,George W. Bush,republican,40144,68228
2000,AZ,Yavapai,Ralph Nader,green,2733,68228
2000,AZ,Yavapai,Other,NA,1288,68228
2000,AZ,Yuma,Al Gore,democrat,12055,28652
2000,AZ,Yuma,George W. Bush,republican,15708,28652
2000,AZ,Yuma,Ralph Nader,green,495,28652
2000,AZ,Yuma,Other,NA,394,28652
2000,AR,Arkansas,Al Gore,democrat,2877,6372
2000,AR,Arkansas,George W. Bush,republican,3353,6372
2000,AR,Arkansas,Ralph Nader,green,65,6372
2000,AR,Arkansas,Other,NA,77,6372
2000,AR,Ashley,Al Gore,democrat,4253,8271
2000,AR,Ashley,George W. Bush,republican,3876,8271
2000,AR,Ashley,Ralph Nader,green,61,8271
2000,AR,Ashley,Other,NA,81,8271
2000,AR,Baxter,Al Gore,democrat,6516,16708
2000,AR,Baxter,George W. Bush,republican,9538,16708
2000,AR,Baxter,Ralph Nader,green,429,16708
2000,AR,Baxter,Other,NA,225,16708
2000,AR,Benton,Al Gore,democrat,17277,53646
2000,AR,Benton,George W. Bush,republican,34838,53646
2000,AR,Benton,Ralph Nader,green,862,53646
2000,AR,Benton,Other,NA,669,53646
2000,AR,Boone,Al Gore,democrat,4493,13635
2000,AR,Boone,George W. Bush,republican,8569,13635
2000,AR,Boone,Ralph Nader,green,289,13635
2000,AR,Boone,Other,NA,284,13635
2000,AR,Bradley,Al Gore,democrat,2122,3979
2000,AR,Bradley,George W. Bush,republican,1793,3979
2000,AR,Bradley,Ralph Nader,green,34,3979
2000,AR,Bradley,Other,NA,30,3979
2000,AR,Calhoun,Al Gore,democrat,1017,2185
2000,AR,Calhoun,George W. Bush,republican,1128,2185
2000,AR,Calhoun,Ralph Nader,green,19,2185
2000,AR,Calhoun,Other,NA,21,2185
2000,AR,Carroll,Al Gore,democrat,3595,9590
2000,AR,Carroll,George W. Bush,republican,5556,9590
2000,AR,Carroll,Ralph Nader,green,301,9590
2000,AR,Carroll,Other,NA,138,9590
2000,AR,Chicot,Al Gore,democrat,2820,4452
2000,AR,Chicot,George W. Bush,republican,1564,4452
2000,AR,Chicot,Ralph Nader,green,26,4452
2000,AR,Chicot,Other,NA,42,4452
2000,AR,Clark,Al Gore,democrat,4661,8626
2000,AR,Clark,George W. Bush,republican,3776,8626
2000,AR,Clark,Ralph Nader,green,103,8626
2000,AR,Clark,Other,NA,86,8626
2000,AR,Clay,Al Gore,democrat,3527,5900
2000,AR,Clay,George W. Bush,republican,2254,5900
2000,AR,Clay,Ralph Nader,green,73,5900
2000,AR,Clay,Other,NA,46,5900
2000,AR,Cleburne,Al Gore,democrat,4120,10207
2000,AR,Cleburne,George W. Bush,republican,5730,10207
2000,AR,Cleburne,Ralph Nader,green,183,10207
2000,AR,Cleburne,Other,NA,174,10207
2000,AR,Cleveland,Al Gore,democrat,1414,3181
2000,AR,Cleveland,George W. Bush,republican,1678,3181
2000,AR,Cleveland,Ralph Nader,green,30,3181
2000,AR,Cleveland,Other,NA,59,3181
2000,AR,Columbia,Al Gore,democrat,4003,9307
2000,AR,Columbia,George W. Bush,republican,5018,9307
2000,AR,Columbia,Ralph Nader,green,70,9307
2000,AR,Columbia,Other,NA,216,9307
2000,AR,Conway,Al Gore,democrat,3496,7234
2000,AR,Conway,George W. Bush,republican,3545,7234
2000,AR,Conway,Ralph Nader,green,84,7234
2000,AR,Conway,Other,NA,109,7234
2000,AR,Craighead,Al Gore,democrat,12376,25157
2000,AR,Craighead,George W. Bush,republican,12158,25157
2000,AR,Craighead,Ralph Nader,green,409,25157
2000,AR,Craighead,Other,NA,214,25157
2000,AR,Crawford,Al Gore,democrat,6288,17625
2000,AR,Crawford,George W. Bush,republican,10804,17625
2000,AR,Crawford,Ralph Nader,green,223,17625
2000,AR,Crawford,Other,NA,310,17625
2000,AR,Crittenden,Al Gore,democrat,7224,13234
2000,AR,Crittenden,George W. Bush,republican,5857,13234
2000,AR,Crittenden,Ralph Nader,green,97,13234
2000,AR,Crittenden,Other,NA,56,13234
2000,AR,Cross,Al Gore,democrat,3096,6215
2000,AR,Cross,George W. Bush,republican,3033,6215
2000,AR,Cross,Ralph Nader,green,38,6215
2000,AR,Cross,Other,NA,48,6215
2000,AR,Dallas,Al Gore,democrat,1710,3325
2000,AR,Dallas,George W. Bush,republican,1571,3325
2000,AR,Dallas,Ralph Nader,green,21,3325
2000,AR,Dallas,Other,NA,23,3325
2000,AR,Desha,Al Gore,democrat,2776,4495
2000,AR,Desha,George W. Bush,republican,1603,4495
2000,AR,Desha,Ralph Nader,green,38,4495
2000,AR,Desha,Other,NA,78,4495
2000,AR,Drew,Al Gore,democrat,3060,5922
2000,AR,Drew,George W. Bush,republican,2756,5922
2000,AR,Drew,Ralph Nader,green,47,5922
2000,AR,Drew,Other,NA,59,5922
2000,AR,Faulkner,Al Gore,democrat,11950,29216
2000,AR,Faulkner,George W. Bush,republican,16055,29216
2000,AR,Faulkner,Ralph Nader,green,513,29216
2000,AR,Faulkner,Other,NA,698,29216
2000,AR,Franklin,Al Gore,democrat,2674,6140
2000,AR,Franklin,George W. Bush,republican,3277,6140
2000,AR,Franklin,Ralph Nader,green,100,6140
2000,AR,Franklin,Other,NA,89,6140
2000,AR,Fulton,Al Gore,democrat,1976,4108
2000,AR,Fulton,George W. Bush,republican,2036,4108
2000,AR,Fulton,Ralph Nader,green,51,4108
2000,AR,Fulton,Other,NA,45,4108
2000,AR,Garland,Al Gore,democrat,15840,35935
2000,AR,Garland,George W. Bush,republican,19098,35935
2000,AR,Garland,Ralph Nader,green,566,35935
2000,AR,Garland,Other,NA,431,35935
2000,AR,Grant,Al Gore,democrat,2535,6013
2000,AR,Grant,George W. Bush,republican,3285,6013
2000,AR,Grant,Ralph Nader,green,88,6013
2000,AR,Grant,Other,NA,105,6013
2000,AR,Greene,Al Gore,democrat,6319,12484
2000,AR,Greene,George W. Bush,republican,5831,12484
2000,AR,Greene,Ralph Nader,green,205,12484
2000,AR,Greene,Other,NA,129,12484
2000,AR,Hempstead,Al Gore,democrat,3937,7289
2000,AR,Hempstead,George W. Bush,republican,3257,7289
2000,AR,Hempstead,Ralph Nader,green,50,7289
2000,AR,Hempstead,Other,NA,45,7289
2000,AR,Hot Spring,Al Gore,democrat,5527,10981
2000,AR,Hot Spring,George W. Bush,republican,5042,10981
2000,AR,Hot Spring,Ralph Nader,green,202,10981
2000,AR,Hot Spring,Other,NA,210,10981
2000,AR,Howard,Al Gore,democrat,2063,4459
2000,AR,Howard,George W. Bush,republican,2326,4459
2000,AR,Howard,Ralph Nader,green,50,4459
2000,AR,Howard,Other,NA,20,4459
2000,AR,Independence,Al Gore,democrat,5146,11594
2000,AR,Independence,George W. Bush,republican,6145,11594
2000,AR,Independence,Ralph Nader,green,171,11594
2000,AR,Independence,Other,NA,132,11594
2000,AR,Izard,Al Gore,democrat,2587,5032
2000,AR,Izard,George W. Bush,republican,2301,5032
2000,AR,Izard,Ralph Nader,green,76,5032
2000,AR,Izard,Other,NA,68,5032
2000,AR,Jackson,Al Gore,democrat,3651,6072
2000,AR,Jackson,George W. Bush,republican,2280,6072
2000,AR,Jackson,Ralph Nader,green,77,6072
2000,AR,Jackson,Other,NA,64,6072
2000,AR,Jefferson,Al Gore,democrat,17716,27201
2000,AR,Jefferson,George W. Bush,republican,8765,27201
2000,AR,Jefferson,Ralph Nader,green,361,27201
2000,AR,Jefferson,Other,NA,359,27201
2000,AR,Johnson,Al Gore,democrat,3270,7161
2000,AR,Johnson,George W. Bush,republican,3657,7161
2000,AR,Johnson,Ralph Nader,green,109,7161
2000,AR,Johnson,Other,NA,125,7161
2000,AR,Lafayette,Al Gore,democrat,1806,3383
2000,AR,Lafayette,George W. Bush,republican,1538,3383
2000,AR,Lafayette,Ralph Nader,green,27,3383
2000,AR,Lafayette,Other,NA,12,3383
2000,AR,Lawrence,Al Gore,democrat,3255,6040
2000,AR,Lawrence,George W. Bush,republican,2626,6040
2000,AR,Lawrence,Ralph Nader,green,87,6040
2000,AR,Lawrence,Other,NA,72,6040
2000,AR,Lee,Al Gore,democrat,2727,4121
2000,AR,Lee,George W. Bush,republican,1351,4121
2000,AR,Lee,Ralph Nader,green,18,4121
2000,AR,Lee,Other,NA,25,4121
2000,AR,Lincoln,Al Gore,democrat,1957,3546
2000,AR,Lincoln,George W. Bush,republican,1526,3546
2000,AR,Lincoln,Ralph Nader,green,21,3546
2000,AR,Lincoln,Other,NA,42,3546
2000,AR,Little River,Al Gore,democrat,2883,5263
2000,AR,Little River,George W. Bush,republican,2283,5263
2000,AR,Little River,Ralph Nader,green,50,5263
2000,AR,Little River,Other,NA,47,5263
2000,AR,Logan,Al Gore,democrat,3283,8096
2000,AR,Logan,George W. Bush,republican,4487,8096
2000,AR,Logan,Ralph Nader,green,124,8096
2000,AR,Logan,Other,NA,202,8096
2000,AR,Lonoke,Al Gore,democrat,6851,17943
2000,AR,Lonoke,George W. Bush,republican,10606,17943
2000,AR,Lonoke,Ralph Nader,green,237,17943
2000,AR,Lonoke,Other,NA,249,17943
2000,AR,Madison,Al Gore,democrat,2055,5628
2000,AR,Madison,George W. Bush,republican,3387,5628
2000,AR,Madison,Ralph Nader,green,88,5628
2000,AR,Madison,Other,NA,98,5628
2000,AR,Marion,Al Gore,democrat,2233,6015
2000,AR,Marion,George W. Bush,republican,3402,6015
2000,AR,Marion,Ralph Nader,green,220,6015
2000,AR,Marion,Other,NA,160,6015
2000,AR,Miller,Al Gore,democrat,6278,13745
2000,AR,Miller,George W. Bush,republican,7276,13745
2000,AR,Miller,Ralph Nader,green,100,13745
2000,AR,Miller,Other,NA,91,13745
2000,AR,Mississippi,Al Gore,democrat,7107,12586
2000,AR,Mississippi,George W. Bush,republican,5199,12586
2000,AR,Mississippi,Ralph Nader,green,110,12586
2000,AR,Mississippi,Other,NA,170,12586
2000,AR,Monroe,Al Gore,democrat,1910,3293
2000,AR,Monroe,George W. Bush,republican,1329,3293
2000,AR,Monroe,Ralph Nader,green,29,3293
2000,AR,Monroe,Other,NA,25,3293
2000,AR,Montgomery,Al Gore,democrat,1438,3739
2000,AR,Montgomery,George W. Bush,republican,2128,3739
2000,AR,Montgomery,Ralph Nader,green,101,3739
2000,AR,Montgomery,Other,NA,72,3739
2000,AR,Nevada,Al Gore,democrat,1867,3738
2000,AR,Nevada,George W. Bush,republican,1796,3738
2000,AR,Nevada,Ralph Nader,green,42,3738
2000,AR,Nevada,Other,NA,33,3738
2000,AR,Newton,Al Gore,democrat,1205,3927
2000,AR,Newton,George W. Bush,republican,2529,3927
2000,AR,Newton,Ralph Nader,green,112,3927
2000,AR,Newton,Other,NA,81,3927
2000,AR,Ouachita,Al Gore,democrat,5464,10395
2000,AR,Ouachita,George W. Bush,republican,4739,10395
2000,AR,Ouachita,Ralph Nader,green,100,10395
2000,AR,Ouachita,Other,NA,92,10395
2000,AR,Perry,Al Gore,democrat,1648,4007
2000,AR,Perry,George W. Bush,republican,2114,4007
2000,AR,Perry,Ralph Nader,green,61,4007
2000,AR,Perry,Other,NA,184,4007
2000,AR,Phillips,Al Gore,democrat,6018,9313
2000,AR,Phillips,George W. Bush,republican,3154,9313
2000,AR,Phillips,Ralph Nader,green,75,9313
